month,area_code,area_name,medication_class,items_per_1000,cost_per_1000
2025-06-01,E09000012,Hackney,Antihypertensive,152.06,636.91
2025-06-01,E09000012,Hackney,Lipid-lowering,119.19,376.89
2025-06-01,E09000012,Hackney,Antidiabetic,64.28,226.05
2025-07-01,E09000012,Hackney,NSAID,92.63,340.96
2025-07-01,E09000012,Hackney,Antihypertensive,138.28,252.12
2025-07-01,E09000012,Hackney,Lipid-lowering,110.79,242.7
2025-07-01,E09000012,Hackney,Antidiabetic,65.44,207.1
2025-08-01,E09000012,Hackney,NSAID,104.32,416.17
2025-08-01,E09000012,Hackney,Antihypertensive,137.95,338.16
2025-08-01,E09000012,Hackney,Lipid-lowering,116.4,276.19
2025-08-01,E09000012,Hackney,Antidiabetic,68.32,154.95
2025-09-01,E09000012,Hackney,NSAID,83.53,166.54
2025-09-01,E09000012,Hackney,Antihypertensive,126.96,356.15
2025-09-01,E09000012,Hackney,Lipid-lowering,99.32,414.68
2025-09-01,E09000012,Hackney,Antidiabetic,79.45,331.51
2025-10-01,E09000012,Hackney,NSAID,88.59,270.79
2025-10-01,E09000012,Hackney,Antihypertensive,141.22,538.9
2025-10-01,E09000012,Hackney,Lipid-lowering,107.01,280.46
2025-10-01,E09000012,Hackney,Antidiabetic,72.42,270.88
2025-11-01,E09000012,Hackney,NSAID,94.29,406.42
2025-11-01,E09000012,Hackney,Antihypertensive,127.79,238.75
2025-11-01,E09000012,Hackney,Lipid-lowering,126.35,247.63
2025-11-01,E09000012,Hackney,Antidiabetic,69.52,229.28
2025-12-01,E09000012,Hackney,NSAID,90.15,219.15
2025-12-01,E09000012,Hackney,Antihypertensive,149.1,658.36
2025-12-01,E09000012,Hackney,Lipid-lowering,120.26,232.31
2025-12-01,E09000012,Hackney,Antidiabetic,78.36,171.53
2025-01-01,E09000030,Tower Hamlets,NSAID,98.04,205.82
2025-01-01,E09000030,Tower Hamlets,Antihypertensive,156.21,569.58
2025-01-01,E09000030,Tower Hamlets,Lipid-lowering,122.49,231.9
2025-01-01,E09000030,Tower Hamlets,Antidiabetic,80.61,193.7
2025-02-01,E09000030,Tower Hamlets,NSAID,117.31,409.24
2025-02-01,E09000030,Tower Hamlets,Antihypertensive,173.44,409.2
2025-02-01,E09000030,Tower Hamlets,Lipid-lowering,131.5,207.05
2025-02-01,E09000030,Tower Hamlets,Antidiabetic,88.63,301.5
2025-03-01,E09000030,Tower Hamlets,NSAID,104.06,199.9
2025-03-01,E09000030,Tower Hamlets,Antihypertensive,167.7,737.65
2025-03-01,E09000030,Tower Hamlets,Lipid-lowering,151.19,649.97
2025-03-01,E09000030,Tower Hamlets,Antidiabetic,85.99,249.55
2025-04-01,E09000030,Tower Hamlets,NSAID,106.16,164.91
2025-04-01,E09000030,Tower Hamlets,Antihypertensive,172.52,688.05
2025-04-01,E09000030,Tower Hamlets,Lipid-lowering,131.79,289.66
2025-04-01,E09000030,Tower Hamlets,Antidiabetic,85.79,284.65
2025-05-01,E09000030,Tower Hamlets,NSAID,102.87,269.78
2025-05-01,E09000030,Tower Hamlets,Antihypertensive,166.42,575.1
2025-05-01,E09000030,Tower Hamlets,Lipid-lowering,119.47,341.89
2025-05-01,E09000030,Tower Hamlets,Antidiabetic,98.9,218.58
2025-06-01,E09000030,Tower Hamlets,NSAID,93.82,370.57
2025-06-01,E09000030,Tower Hamlets,Antihypertensive,171.34,291.21
2025-06-01,E09000030,Tower Hamlets,Lipid-lowering,122.92,238.29
2025-06-01,E09000030,Tower Hamlets,Antidiabetic,92.1,223.9
2025-07-01,E09000030,Tower Hamlets,NSAID,94.71,403.73
2025-07-01,E09000030,Tower Hamlets,Antihypertensive,146.49,344.87
2025-07-01,E09000030,Tower Hamlets,Lipid-lowering,118.29,218.42
2025-07-01,E09000030,Tower Hamlets,Antidiabetic,74.33,123.85
2025-08-01,E09000030,Tower Hamlets,NSAID,94.34,156.61
2025-08-01,E09000030,Tower Hamlets,Antihypertensive,141.22,500.23
2025-08-01,E09000030,Tower Hamlets,Lipid-lowering,115.72,283.97
2025-08-01,E09000030,Tower Hamlets,Antidiabetic,73.44,302.96
2025-09-01,E09000030,Tower Hamlets,NSAID,86.3,140.7
2025-09-01,E09000030,Tower Hamlets,Antihypertensive,135.22,303.99
2025-09-01,E09000030,Tower Hamlets,Lipid-lowering,123.96,340.75
2025-09-01,E09000030,Tower Hamlets,Antidiabetic,66.66,174.7
2025-10-01,E09000030,Tower Hamlets,NSAID,94.54,170.64
2025-10-01,E09000030,Tower Hamlets,Antihypertensive,146.26,242.19
2025-10-01,E09000030,Tower Hamlets,Lipid-lowering,117.99,212.07
2025-10-01,E09000030,Tower Hamlets,Antidiabetic,79.56,334.8
2025-11-01,E09000030,Tower Hamlets,NSAID,88.65,346.28
2025-11-01,E09000030,Tower Hamlets,Antihypertensive,145.3,497.99
2025-11-01,E09000030,Tower Hamlets,Lipid-lowering,117.18,223.07
2025-11-01,E09000030,Tower Hamlets,Antidiabetic,74.24,225.88
2025-12-01,E09000030,Tower Hamlets,NSAID,111.8,322.92
2025-12-01,E09000030,Tower Hamlets,Antihypertensive,149.34,510.55
2025-12-01,E09000030,Tower Hamlets,Lipid-lowering,127.57,244.85
2025-12-01,E09000030,Tower Hamlets,Antidiabetic,67.7,186.23
2025-01-01,E09000025,Newham,NSAID,102.98,246.2
2025-01-01,E09000025,Newham,Antihypertensive,174.37,740.91
2025-01-01,E09000025,Newham,Lipid-lowering,149.36,371.18
2025-01-01,E09000025,Newham,Antidiabetic,91.27,369.26
2025-02-01,E09000025,Newham,NSAID,117.27,458.92
2025-02-01,E09000025,Newham,Antihypertensive,168.96,574.24
2025-02-01,E09000025,Newham,Lipid-lowering,137.14,508.05
2025-02-01,E09000025,Newham,Antidiabetic,83.03,297.6
2025-03-01,E09000025,Newham,NSAID,114.28,382.04
2025-03-01,E09000025,Newham,Antihypertensive,178.4,655.99
2025-03-01,E09000025,Newham,Lipid-lowering,148.89,641.37
2025-03-01,E09000025,Newham,Antidiabetic,91.93,402.35
2025-04-01,E09000025,Newham,NSAID,110.57,362.8
2025-04-01,E09000025,Newham,Antihypertensive,175.49,681.85
2025-04-01,E09000025,Newham,Lipid-lowering,134.92,304.95
2025-04-01,E09000025,Newham,Antidiabetic,82.76,147.74
2025-05-01,E09000025,Newham,NSAID,112.54,359.55
2025-05-01,E09000025,Newham,Antihypertensive,169.53,491.29
2025-05-01,E09000025,Newham,Lipid-lowering,139.37,528.44
2025-05-01,E09000025,Newham,Antidiabetic,91.1,271.15
2025-06-01,E09000025,Newham,NSAID,90.66,389.26
2025-06-01,E09000025,Newham,Antihypertensive,161.54,299.05
2025-06-01,E09000025,Newham,Lipid-lowering,141.03,489.89
2025-06-01,E09000025,Newham,Antidiabetic,89.93,343.78
2025-07-01,E09000025,Newham,NSAID,105.54,263.95
2025-07-01,E09000025,Newham,Antihypertensive,151.16,572.53
2025-07-01,E09000025,Newham,Lipid-lowering,126.06,326.81
2025-07-01,E09000025,Newham,Antidiabetic,78.77,155.39
2025-08-01,E09000025,Newham,NSAID,98.68,425.16
2025-08-01,E09000025,Newham,Antihypertensive,136.36,361.35
2025-08-01,E09000025,Newham,Lipid-lowering,129.75,409.88
2025-08-01,E09000025,Newham,Antidiabetic,70.97,272.59
2025-09-01,E09000025,Newham,NSAID,100.5,264.22
2025-09-01,E09000025,Newham,Antihypertensive,150.96,551.51
2025-09-01,E09000025,Newham,Lipid-lowering,123.52,229.19
2025-09-01,E09000025,Newham,Antidiabetic,91.89,313.47
2025-10-01,E09000025,Newham,NSAID,81.97,267.62
2025-10-01,E09000025,Newham,Antihypertensive,140.56,216.04
2025-10-01,E09000025,Newham,Lipid-lowering,128.55,511.13
2025-10-01,E09000025,Newham,Antidiabetic,67.96,195.44
2025-11-01,E09000025,Newham,NSAID,94.29,226.83
2025-11-01,E09000025,Newham,Antihypertensive,153.2,588.88
2025-11-01,E09000025,Newham,Lipid-lowering,114.28,513.22
2025-11-01,E09000025,Newham,Antidiabetic,80.18,188.56
2025-12-01,E09000025,Newham,NSAID,108.32,197.05
2025-12-01,E09000025,Newham,Antihypertensive,158.37,280.52
2025-12-01,E09000025,Newham,Lipid-lowering,132.3,209.97
2025-12-01,E09000025,Newham,Antidiabetic,79.07,152.53
2025-01-01,E08000003,Manchester,NSAID,106.7,176.58
2025-01-01,E08000003,Manchester,Antihypertensive,146.28,571.14
2025-01-01,E08000003,Manchester,Lipid-lowering,122.76,496.98
2025-01-01,E08000003,Manchester,Antidiabetic,80.3,313.41
2025-02-01,E08000003,Manchester,NSAID,109.27,417.02
2025-02-01,E08000003,Manchester,Antihypertensive,173.44,696.18
2025-02-01,E08000003,Manchester,Lipid-lowering,137.3,257.4
2025-02-01,E08000003,Manchester,Antidiabetic,87.33,326.22
2025-03-01,E08000003,Manchester,NSAID,113.28,459.19
2025-03-01,E08000003,Manchester,Antihypertensive,163.7,606.32
2025-03-01,E08000003,Manchester,Lipid-lowering,133.26,308.14
2025-03-01,E08000003,Manchester,Antidiabetic,94.73,420.64
2025-04-01,E08000003,Manchester,NSAID,101.59,169.0
2025-04-01,E08000003,Manchester,Antihypertensive,158.53,257.94
2025-04-01,E08000003,Manchester,Lipid-lowering,136.86,496.64
2025-04-01,E08000003,Manchester,Antidiabetic,94.51,167.78
2025-05-01,E08000003,Manchester,NSAID,103.78,460.8
2025-05-01,E08000003,Manchester,Antihypertensive,155.65,599.6
2025-05-01,E08000003,Manchester,Lipid-lowering,131.82,424.08
2025-05-01,E08000003,Manchester,Antidiabetic,87.58,379.94
2025-06-01,E08000003,Manchester,NSAID,100.0,323.41
2025-06-01,E08000003,Manchester,Antihypertensive,160.07,551.88
2025-06-01,E08000003,Manchester,Lipid-lowering,134.6,261.84
2025-06-01,E08000003,Manchester,Antidiabetic,80.08,217.19
2025-07-01,E08000003,Manchester,NSAID,110.94,206.08
2025-07-01,E08000003,Manchester,Antihypertensive,145.46,339.53
2025-07-01,E08000003,Manchester,Lipid-lowering,127.99,356.3
2025-07-01,E08000003,Manchester,Antidiabetic,79.28,269.87
2025-08-01,E08000003,Manchester,NSAID,95.73,260.99
2025-08-01,E08000003,Manchester,Antihypertensive,128.26,418.75
2025-08-01,E08000003,Manchester,Lipid-lowering,108.0,173.68
2025-08-01,E08000003,Manchester,Antidiabetic,71.93,210.22
2025-09-01,E08000003,Manchester,NSAID,99.9,321.42
2025-09-01,E08000003,Manchester,Antihypertensive,139.77,504.03
2025-09-01,E08000003,Manchester,Lipid-lowering,112.13,387.67
2025-09-01,E08000003,Manchester,Antidiabetic,77.23,298.3
2025-10-01,E08000003,Manchester,NSAID,100.98,282.16
2025-10-01,E08000003,Manchester,Antihypertensive,139.43,360.0
2025-10-01,E08000003,Manchester,Lipid-lowering,117.38,435.49
2025-10-01,E08000003,Manchester,Antidiabetic,74.63,318.14
2025-11-01,E08000003,Manchester,NSAID,96.88,296.54
2025-11-01,E08000003,Manchester,Antihypertensive,139.51,340.88
2025-11-01,E08000003,Manchester,Lipid-lowering,114.5,341.49
2025-11-01,E08000003,Manchester,Antidiabetic,81.24,139.42
2025-12-01,E08000003,Manchester,NSAID,110.0,183.33
2025-12-01,E08000003,Manchester,Antihypertensive,150.6,376.85
2025-12-01,E08000003,Manchester,Lipid-lowering,124.64,304.33
2025-12-01,E08000003,Manchester,Antidiabetic,68.18,105.27
2025-01-01,E08000025,Birmingham,NSAID,95.11,246.79
2025-01-01,E08000025,Birmingham,Antihypertensive,153.07,686.71
2025-01-01,E08000025,Birmingham,Lipid-lowering,133.45,324.68
2025-01-01,E08000025,Birmingham,Antidiabetic,86.21,311.74
2025-02-01,E08000025,Birmingham,NSAID,107.23,367.02
2025-02-01,E08000025,Birmingham,Antihypertensive,161.74,344.04
2025-02-01,E08000025,Birmingham,Lipid-lowering,137.37,273.54
2025-02-01,E08000025,Birmingham,Antidiabetic,81.02,324.81
2025-03-01,E08000025,Birmingham,NSAID,122.06,386.68
2025-03-01,E08000025,Birmingham,Antihypertensive,158.13,706.98
2025-03-01,E08000025,Birmingham,Lipid-lowering,135.28,384.84
2025-03-01,E08000025,Birmingham,Antidiabetic,83.8,145.83
2025-04-01,E08000025,Birmingham,NSAID,110.23,308.8
2025-04-01,E08000025,Birmingham,Antihypertensive,173.29,338.27
2025-04-01,E08000025,Birmingham,Lipid-lowering,128.37,541.88
2025-04-01,E08000025,Birmingham,Antidiabetic,89.01,195.69
2025-05-01,E08000025,Birmingham,NSAID,110.09,327.04
2025-05-01,E08000025,Birmingham,Antihypertensive,164.9,491.39
2025-05-01,E08000025,Birmingham,Lipid-lowering,124.9,278.66
2025-05-01,E08000025,Birmingham,Antidiabetic,77.17,263.35
2025-06-01,E08000025,Birmingham,NSAID,99.35,348.76
2025-06-01,E08000025,Birmingham,Antihypertensive,148.29,248.28
2025-06-01,E08000025,Birmingham,Lipid-lowering,117.14,365.31
2025-06-01,E08000025,Birmingham,Antidiabetic,83.64,337.35
2025-07-01,E08000025,Birmingham,NSAID,99.47,378.55
2025-07-01,E08000025,Birmingham,Antihypertensive,156.18,470.77
2025-07-01,E08000025,Birmingham,Lipid-lowering,115.84,377.8
2025-07-01,E08000025,Birmingham,Antidiabetic,67.82,171.04
2025-08-01,E08000025,Birmingham,NSAID,85.67,230.93
2025-08-01,E08000025,Birmingham,Antihypertensive,138.8,470.88
2025-08-01,E08000025,Birmingham,Lipid-lowering,108.09,272.0
2025-08-01,E08000025,Birmingham,Antidiabetic,77.33,121.76
2025-09-01,E08000025,Birmingham,NSAID,85.97,244.55
2025-09-01,E08000025,Birmingham,Antihypertensive,135.78,447.44
2025-09-01,E08000025,Birmingham,Lipid-lowering,111.3,259.79
2025-09-01,E08000025,Birmingham,Antidiabetic,64.8,220.41
2025-10-01,E08000025,Birmingham,NSAID,81.7,274.61
2025-10-01,E08000025,Birmingham,Antihypertensive,145.2,549.47
2025-10-01,E08000025,Birmingham,Lipid-lowering,115.99,424.76
2025-10-01,E08000025,Birmingham,Antidiabetic,64.06,246.39
2025-11-01,E08000025,Birmingham,NSAID,88.07,162.24
2025-11-01,E08000025,Birmingham,Antihypertensive,155.91,439.71
2025-11-01,E08000025,Birmingham,Lipid-lowering,112.13,388.22
2025-11-01,E08000025,Birmingham,Antidiabetic,86.33,384.48
2025-12-01,E08000025,Birmingham,NSAID,102.34,378.8
2025-12-01,E08000025,Birmingham,Antihypertensive,137.84,223.69
2025-12-01,E08000025,Birmingham,Lipid-lowering,121.23,359.96
2025-12-01,E08000025,Birmingham,Antidiabetic,84.69,245.17
2025-01-01,E08000035,Leeds,NSAID,95.03,406.17
2025-01-01,E08000035,Leeds,Antihypertensive,151.29,243.72
2025-01-01,E08000035,Leeds,Lipid-lowering,109.74,180.64
2025-01-01,E08000035,Leeds,Antidiabetic,68.88,242.88
2025-02-01,E08000035,Leeds,NSAID,92.99,355.33
2025-02-01,E08000035,Leeds,Antihypertensive,145.39,540.61
2025-02-01,E08000035,Leeds,Lipid-lowering,130.77,215.37
2025-02-01,E08000035,Leeds,Antidiabetic,74.48,250.68
2025-03-01,E08000035,Leeds,NSAID,101.14,153.08
2025-03-01,E08000035,Leeds,Antihypertensive,154.78,546.67
2025-03-01,E08000035,Leeds,Lipid-lowering,130.62,353.21
2025-03-01,E08000035,Leeds,Antidiabetic,76.87,270.18
2025-04-01,E08000035,Leeds,NSAID,95.67,388.27
2025-04-01,E08000035,Leeds,Antihypertensive,162.31,659.0
2025-04-01,E08000035,Leeds,Lipid-lowering,122.94,402.12
2025-04-01,E08000035,Leeds,Antidiabetic,76.61,178.07
2025-05-01,E08000035,Leeds,NSAID,98.16,202.48
2025-05-01,E08000035,Leeds,Antihypertensive,150.01,378.88
2025-05-01,E08000035,Leeds,Lipid-lowering,111.08,435.68
2025-05-01,E08000035,Leeds,Antidiabetic,90.49,216.2
2025-06-01,E08000035,Leeds,NSAID,92.39,176.51
2025-06-01,E08000035,Leeds,Antihypertensive,143.31,643.84
2025-06-01,E08000035,Leeds,Lipid-lowering,106.85,351.09
2025-06-01,E08000035,Leeds,Antidiabetic,73.65,312.71
2025-07-01,E08000035,Leeds,NSAID,102.95,195.92
2025-07-01,E08000035,Leeds,Antihypertensive,143.73,244.55
2025-07-01,E08000035,Leeds,Lipid-lowering,114.07,177.16
2025-07-01,E08000035,Leeds,Antidiabetic,62.79,213.72
2025-08-01,E08000035,Leeds,NSAID,95.03,262.4
2025-08-01,E08000035,Leeds,Antihypertensive,115.12,432.37
2025-08-01,E08000035,Leeds,Lipid-lowering,99.41,233.97
2025-08-01,E08000035,Leeds,Antidiabetic,65.65,144.78
2025-09-01,E08000035,Leeds,NSAID,73.97,312.67
2025-09-01,E08000035,Leeds,Antihypertensive,121.44,452.6
2025-09-01,E08000035,Leeds,Lipid-lowering,109.67,379.49
2025-09-01,E08000035,Leeds,Antidiabetic,60.25,134.01
2025-10-01,E08000035,Leeds,NSAID,92.4,181.68
2025-10-01,E08000035,Leeds,Antihypertensive,143.64,457.42
2025-10-01,E08000035,Leeds,Lipid-lowering,108.44,417.65
2025-10-01,E08000035,Leeds,Antidiabetic,71.94,210.69
2025-11-01,E08000035,Leeds,NSAID,98.77,348.06
2025-11-01,E08000035,Leeds,Antihypertensive,129.0,265.17
2025-11-01,E08000035,Leeds,Lipid-lowering,115.5,208.55
2025-11-01,E08000035,Leeds,Antidiabetic,65.66,286.69
2025-12-01,E08000035,Leeds,NSAID,96.95,271.35
2025-12-01,E08000035,Leeds,Antihypertensive,145.66,637.91
2025-12-01,E08000035,Leeds,Lipid-lowering,109.96,178.5
2025-12-01,E08000035,Leeds,Antidiabetic,56.26,95.45
2025-01-01,E06000023,Bristol,NSAID,92.95,156.3
2025-01-01,E06000023,Bristol,Antihypertensive,128.2,271.92
2025-01-01,E06000023,Bristol,Lipid-lowering,116.57,312.7
2025-01-01,E06000023,Bristol,Antidiabetic,73.83,111.12
2025-02-01,E06000023,Bristol,NSAID,101.51,415.01
2025-02-01,E06000023,Bristol,Antihypertensive,139.65,422.38
2025-02-01,E06000023,Bristol,Lipid-lowering,108.08,270.13
2025-02-01,E06000023,Bristol,Antidiabetic,76.52,293.95
2025-03-01,E06000023,Bristol,NSAID,90.63,206.74
2025-03-01,E06000023,Bristol,Antihypertensive,149.36,332.68
2025-03-01,E06000023,Bristol,Lipid-lowering,107.55,381.79
2025-03-01,E06000023,Bristol,Antidiabetic,82.83,206.43
2025-04-01,E06000023,Bristol,NSAID,101.97,167.81
2025-04-01,E06000023,Bristol,Antihypertensive,131.9,479.41
2025-04-01,E06000023,Bristol,Lipid-lowering,117.0,192.13
2025-04-01,E06000023,Bristol,Antidiabetic,70.4,299.66
2025-05-01,E06000023,Bristol,NSAID,94.45,195.04
2025-05-01,E06000023,Bristol,Antihypertensive,140.68,257.71
2025-05-01,E06000023,Bristol,Lipid-lowering,96.93,215.67
2025-05-01,E06000023,Bristol,Antidiabetic,77.61,253.84
2025-06-01,E06000023,Bristol,NSAID,75.88,114.9
2025-06-01,E06000023,Bristol,Antihypertensive,135.12,453.63
2025-06-01,E06000023,Bristol,Lipid-lowering,110.91,423.56
2025-06-01,E06000023,Bristol,Antidiabetic,59.75,135.2
2025-07-01,E06000023,Bristol,NSAID,82.36,235.83
2025-07-01,E06000023,Bristol,Antihypertensive,136.51,608.01
2025-07-01,E06000023,Bristol,Lipid-lowering,109.89,432.9
2025-07-01,E06000023,Bristol,Antidiabetic,68.69,267.71
2025-08-01,E06000023,Bristol,NSAID,84.3,181.16
2025-08-01,E06000023,Bristol,Antihypertensive,121.91,299.04
2025-08-01,E06000023,Bristol,Lipid-lowering,102.47,162.87
2025-08-01,E06000023,Bristol,Antidiabetic,47.8,74.43
2025-09-01,E06000023,Bristol,NSAID,76.12,279.77
2025-09-01,E06000023,Bristol,Antihypertensive,127.51,473.8
2025-09-01,E06000023,Bristol,Lipid-lowering,106.08,442.38
2025-09-01,E06000023,Bristol,Antidiabetic,68.85,129.31
2025-10-01,E06000023,Bristol,NSAID,82.62,295.72
2025-10-01,E06000023,Bristol,Antihypertensive,120.24,363.36
2025-10-01,E06000023,Bristol,Lipid-lowering,88.89,134.4
2025-10-01,E06000023,Bristol,Antidiabetic,59.73,267.53
2025-11-01,E06000023,Bristol,NSAID,90.71,170.61
2025-11-01,E06000023,Bristol,Antihypertensive,123.91,513.14
2025-11-01,E06000023,Bristol,Lipid-lowering,100.51,338.27
2025-11-01,E06000023,Bristol,Antidiabetic,61.64,101.81
2025-12-01,E06000023,Bristol,NSAID,80.15,191.09
2025-12-01,E06000023,Bristol,Antihypertensive,131.34,526.5
2025-12-01,E06000023,Bristol,Lipid-lowering,106.44,349.89
2025-12-01,E06000023,Bristol,Antidiabetic,73.41,302.59
